Date,Dies,Disease
12.05.21,332450.5,18235163.0
12.06.20,63060.0,1115119.0
12.06.21,342727.5,18640018.5
12.07.20,72297.0,1754461.5
12.07.21,347341.5,18869438.5
12.08.20,87546.5,2713691.0
12.08.21,354084.5,20147245.0
12.09.20,101008.0,3382072.5
12.09.21,374945.0,22620693.5
12.10.20,111890.0,4067933.0
12.10.21,404509.0,24480667.0
12.11.20,127365.5,5665811.0
12.11.21,428743.5,25990814.0
12.12.20,160771.5,8758878.0
12.12.21,450807.5,28241205.5
13.01.21,215950.5,12599332.0
13.01.22,481064.0,36020385.5
13.02.20,0.0,15.0
13.02.21,273972.5,15033691.5
13.02.22,519097.5,45068153.5
13.03.20,28.0,2640.5
13.03.21,302130.5,16030038.0
13.03.22,545186.5,48335156.0
13.04.20,16228.0,358590.5
13.04.21,319007.5,17235295.5
13.04.22,560015.5,51850718.0
13.05.20,47525.0,783056.0
13.05.21,332984.5,18263241.0
13.06.20,63429.0,1127371.5
13.06.21,342790.5,18643398.5
13.07.20,72515.0,1784224.0
13.07.21,347534.0,18883028.0
13.08.20,88067.5,2740242.0
13.08.21,354618.0,20263445.5
13.09.20,101204.5,3402692.5
13.09.21,376031.0,22728838.0
13.10.20,112282.5,4095056.0
13.10.21,406159.0,24540847.0
13.11.20,128072.0,5767341.0
13.11.21,429137.5,26035328.0
13.12.20,161759.0,8864776.5
13.12.21,451569.0,28344823.5
14.01.21,218460.5,12729704.5
14.01.22,482576.0,36506469.0
14.02.20,0.0,15.0
14.02.21,274669.0,15070901.5
14.02.22,520717.5,45191477.0
14.03.20,33.0,3386.5
14.03.21,302420.5,16055071.0
14.03.22,545855.5,48399041.5
14.04.20,17550.5,373795.5
14.04.21,319645.0,17283944.5
14.04.22,560510.5,51956421.5
14.05.20,48460.0,796467.5
14.05.21,333393.0,18290017.5
14.06.20,63606.0,1136945.5
14.06.21,342887.5,18649565.5
14.07.20,72965.0,1817261.0
14.07.21,347712.0,18899364.5
14.08.20,88729.0,2776029.0
14.08.21,354756.5,20302799.5
14.09.20,101414.5,3419438.5
14.09.21,377009.5,22804704.0
14.10.20,112798.5,4126843.0
14.10.21,407277.5,24590508.5
14.11.20,128841.0,5860596.5
14.11.21,429262.0,26068032.0
14.12.20,162675.5,8977877.5
14.12.21,452580.0,28417749.0
15.01.21,220921.0,12863387.0
15.01.22,483179.0,36749621.0
15.02.20,0.0,15.0
15.02.21,275196.0,15100839.5
15.02.22,522121.0,45326673.0
15.03.20,41.0,4025.0
15.03.21,302790.5,16083890.0
15.03.22,546537.5,48510677.5
15.04.20,18992.0,387987.0
15.04.21,320245.5,17335647.5
15.04.22,560743.5,51994780.0
15.05.20,49343.0,809349.5
15.05.21,333747.0,18309343.5
15.06.20,63808.5,1147541.0
15.06.21,343099.0,18655256.0
15.07.20,73449.0,1850450.5
15.07.21,347903.0,18916167.0
15.08.20,89254.5,2802934.5
15.08.21,354860.0,20328556.5
15.09.20,102019.5,3438731.0
15.09.21,378420.5,22897555.5
15.10.20,113229.0,4161930.5
15.10.21,408209.5,24651003.0
15.11.20,129278.0,5938928.5
15.11.21,429937.5,26146855.0
15.12.20,164408.5,9098251.5
15.12.21,453933.0,28515212.5
16.01.21,223191.5,12981567.5
16.01.22,483572.0,37015746.5
16.02.20,0.0,15.0
16.02.21,276276.0,15132379.5
16.02.22,523838.0,45494078.0
16.03.20,54.5,5345.5
16.03.21,303537.0,16113662.5
16.03.22,547584.0,48665042.5
16.04.20,20241.0,404239.0
